country,date,name,kind,movable,source,verified
AM,2022-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2022-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2023-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
