corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,level,10,2026-01…2026-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 36, ""_score"": 1.3809}",True,36.0,
TJS,reversal,10,2026-01…2026-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.2342}",True,8.0,
TJS,seasonality,10,2026-01…2026-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9725}",True,4.0,
TJS,dip_vs_trend,10,2026-01…2026-06,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 9, ""_score"": 1.1134}",True,9.0,
TJS,ml_localmin,10,2026-01…2026-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0288, ""_fitted"": true, ""_pos_rate_val"": 0.279}",,,True
UZS,momentum,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9303}",True,4.0,
UZS,level,0,2021-01…2021-06,"{""window"": 120, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 57, ""_score"": 1.3083}",True,57.0,
UZS,reversal,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.1506}",True,19.0,
UZS,seasonality,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 0.9802}",False,0.0,
UZS,dip_vs_trend,0,2021-01…2021-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.4464}",True,6.0,
