corridor,asset,anchor_hour,group,n,evening_fact_share,gate_survival_T1,n_scored,hit_mean,benefit_fwd_bps,share_positive,n_scored_evening,hit_mean_evening,benefit_fwd_evening_bps,est_n,est_corr,est_mae_bps,est_sign_share,move_mean_abs_bps
TJS,USD,14,все пуши,147,,0.9516129032258065,147,0.5306122448979592,36.57555865458744,0.47619047619047616,147,0.5238095238095238,37.40973113181708,1395,0.4351092250115759,70.10843392192508,0.6594982078853047,45.71475878999489
TJS,USD,14,факт на T,62,0.9354838709677419,0.9516129032258065,62,0.5806451612903226,25.175694329250742,0.532258064516129,62,0.6290322580645161,36.75296256009957,1395,0.4351092250115759,70.10843392192508,0.6594982078853047,45.71475878999489
TJS,USD,14,прошли гейт,58,,1.0,58,0.5689655172413793,25.235261415683027,0.5344827586206896,58,0.6379310344827587,42.76599385716761,1395,0.4351092250115759,70.10843392192508,0.6594982078853047,45.71475878999489
TJS,USD,14,сняты гейтом,4,,0.25,4,0.75,24.31197157598264,0.5,4,0.5,-50.435991247387015,1395,0.4351092250115759,70.10843392192508,0.6594982078853047,45.71475878999489
UZS,USD,14,все пуши,111,,0.9367088607594937,111,0.4864864864864865,-16.40164481622394,0.4144144144144144,111,0.45045045045045046,-21.559381408066336,1395,0.4655565982517295,68.87564083533252,0.6616487455197133,45.71475878999489
UZS,USD,14,факт на T,79,0.9493670886075949,0.9367088607594937,79,0.5063291139240507,10.545798035962981,0.43037974683544306,79,0.4810126582278481,1.1919461088198586,1395,0.4655565982517295,68.87564083533252,0.6616487455197133,45.71475878999489
UZS,USD,14,прошли гейт,75,,0.9733333333333334,75,0.49333333333333335,-0.44124228034275426,0.4266666666666667,75,0.48,-5.887386893897668,1395,0.4655565982517295,68.87564083533252,0.6616487455197133,45.71475878999489
UZS,USD,14,сняты гейтом,4,,0.25,4,0.75,216.55280396669556,0.5,4,0.5,133.92943990977346,1395,0.4655565982517295,68.87564083533252,0.6616487455197133,45.71475878999489
all,USD,14,все пуши,645,,0.927710843373494,645,0.5317829457364341,28.895086607014534,0.4806201550387597,645,0.5271317829457365,27.857847871171987,6975,0.4378470757155964,70.40380814739417,0.6547670250896058,45.71475878999489
all,USD,14,факт на T,332,0.9457831325301205,0.927710843373494,332,0.5512048192771084,16.226286980464543,0.4939759036144578,332,0.5602409638554217,22.458578464683033,6975,0.4378470757155964,70.40380814739417,0.6547670250896058,45.71475878999489
