corridor,source,spread_source,n,n_next,gate_fact_T,gate_fact_T1,gate_survival,own_fact_n,own_fact_T,own_fact_T1,own_survival,n_scored,benefit_fwd_bps,hit_mean,share_positive,benefit_fwd_exec_bps,hit_mean_exec,share_positive_exec,benefit_fwd_at_p90_spread_bps,spread_days,spread_mean_bps,spread_p90_dev_bps
TJS,stream BUY_NOW,CNY,147,147,0.4217687074829932,0.4557823129251701,0.9516129032258065,53,1.0,0.9245283018867925,0.9245283018867925,147,36.57555865458744,0.5306122448979592,0.47619047619047616,38.06602327205473,0.5411374850369333,0.4982676904810565,-37.09088420705986,1398,13.54913703554277,73.94069543891897
UZS,dip_vs_trend,CNY,87,87,0.8390804597701149,0.8390804597701149,0.9863013698630136,87,1.0,0.9080459770114943,0.9080459770114943,87,-115.5502036937206,0.45977011494252873,0.41379310344827586,-114.08233025437578,0.4563251278509529,0.4249502573462911,-188.10007410350673,1398,13.54913703554277,73.94069543891897
UZS,level,CNY,121,121,0.9834710743801653,0.9586776859504132,0.9663865546218487,121,1.0,0.9008264462809917,0.9008264462809917,121,-5.499111965010805,0.49586776859504134,0.4628099173553719,-4.01489557508721,0.5112853072275624,0.47283013513992833,-78.85673521971074,1398,13.54913703554277,73.94069543891897
UZS,ml_localmin,CNY,59,59,1.0,0.9661016949152542,0.9661016949152542,59,1.0,0.9661016949152542,0.9661016949152542,59,-61.35578261405627,0.423728813559322,0.3559322033898305,-59.87986112419749,0.4398535438034965,0.39000024247714654,-134.30342915779912,1398,13.54913703554277,73.94069543891897
UZS,momentum,CNY,216,216,0.42592592592592593,0.4537037037037037,1.0,0,,,,216,-16.89073055130984,0.49537037037037035,0.4861111111111111,-15.408205854368509,0.5116237482117311,0.47778572563980287,-90.16474162028122,1398,13.54913703554277,73.94069543891897
UZS,seasonality,CNY,26,26,0.3076923076923077,0.34615384615384615,0.875,0,,,,26,54.44014973739664,0.6153846153846154,0.5769230769230769,55.93326730563969,0.6074061846594035,0.571613293716298,-19.357415624206777,1398,13.54913703554277,73.94069543891897
UZS,stream BUY_NOW,CNY,111,111,0.7117117117117117,0.7117117117117117,0.9367088607594937,75,1.0,0.8933333333333333,0.8933333333333333,111,-16.40164481622394,0.4864864864864865,0.4144144144144144,-14.919047488435686,0.4831677170732965,0.4429622755803013,-89.67924567597083,1398,13.54913703554277,73.94069543891897
all,dip_vs_trend,CNY,496,496,0.7399193548387096,0.7419354838709677,0.9564032697547684,496,1.0,0.9012096774193549,0.9012096774193549,496,-93.33289404029722,0.44556451612903225,0.4173387096774194,-91.86172125709354,0.45260798837048316,0.42456389311920256,-166.04583502754872,1398,13.54913703554277,73.94069543891897
all,level,CNY,623,623,0.8009630818619583,0.7849117174959872,0.9378757515030061,623,1.0,0.9085072231139647,0.9085072231139647,623,6.487941050539178,0.5152487961476726,0.47030497592295345,7.973937557424261,0.5309660441309185,0.48768132415718857,-66.9576647586575,1398,13.54913703554277,73.94069543891897
all,ml_localmin,CNY,272,272,1.0,0.9411764705882353,0.9411764705882353,272,1.0,0.9411764705882353,0.9411764705882353,272,-20.893550610515376,0.5147058823529411,0.45955882352941174,-19.411620345572647,0.5205940208701506,0.4788826474795927,-94.13818178656874,1398,13.54913703554277,73.94069543891897
