indicator,corridor,source,transferred,split,window,params,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
dip_vs_trend,UZS,KZT,True,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3}",20,25.0,20,20,0.0,0.1111111111111111,0.0,,,0.25,0.41025641025641024,0.609375,-518.3436734443154,-133.26289884507412,-385.0807745992413,,,,,,,250.65020485431455,-343.45401462674647,0.7734806629834254,1.0,0.0,81.0,0.5
dip_vs_trend,KGS,KZT,True,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3}",20,25.0,18,18,0.0,0.10256410256410256,0.0,,,0.2222222222222222,0.39316239316239315,0.5652173913043478,-353.5899067867525,-134.33666686632213,-219.2532399204304,,,,,,,212.32696436749742,-121.28801470408851,0.6961325966850829,0.8823529411764706,0.4358898943540674,78.0,0.3333333333333333
dip_vs_trend,AMD,KZT,True,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3}",20,25.0,19,19,0.10526315789473684,0.10256410256410256,1.0263157894736843,,,0.3684210526315789,0.42735042735042733,0.8621052631578947,-165.8744181412168,-7.685668238494408,-158.1887499027224,,,,,,,322.9688962968248,31.056234729893323,0.7348066298342542,1.0,0.0,87.0,0.5
dip_vs_trend,KZT,KZT,False,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3}",20,25.0,21,21,0.047619047619047616,0.1111111111111111,0.42857142857142855,,,0.23809523809523808,0.38461538461538464,0.619047619047619,-498.49705787395294,-253.47141149360772,-245.02564638034522,,,,,,,246.97767744061997,-262.7304286030544,0.8121546961325967,1.0,0.0,80.0,0.3333333333333333
momentum,TJS,KZT,True,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3}",20,25.0,15,15,0.2,0.2846153846153846,0.7027027027027027,,,0.7333333333333333,0.6230769230769231,1.176954732510288,211.11322294293228,163.51128752215095,47.60193542078133,,,,,,,42.663889929808406,30.906400584455046,0.5706521739130435,0.35714285714285715,0.6697843765803373,31.0,0.0
momentum,UZS,KZT,True,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3}",20,25.0,17,17,0.17647058823529413,0.25384615384615383,0.6951871657754012,,,0.5294117647058824,0.5307692307692308,0.9974424552429667,150.95602193632317,116.21310466761958,34.74291726870359,,,,,,,67.8209508928169,25.606402957567553,0.6467391304347826,0.3125,0.47794517196635267,18.0,0.0
momentum,KGS,KZT,True,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3}",20,25.0,16,16,0.25,0.2846153846153846,0.8783783783783784,,,0.5625,0.5769230769230769,0.9750000000000001,135.2588024153132,92.68431984896502,42.57448256634818,,,,,,,72.098239439752,86.2105715195255,0.6086956521739131,0.13333333333333333,0.557150488348226,29.0,0.0
momentum,AMD,KZT,True,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3}",20,25.0,15,15,0.13333333333333333,0.26153846153846155,0.5098039215686274,,,0.7333333333333333,0.6692307692307692,1.0957854406130267,263.78474856301824,176.90563882369997,86.87910973931827,,,,,,,102.12127583479699,9.286831883634553,0.5706521739130435,0.35714285714285715,0.6812944557549344,30.0,0.0
momentum,KZT,KZT,False,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3}",20,25.0,18,18,0.2222222222222222,0.2,1.111111111111111,,,0.6666666666666666,0.6461538461538462,1.0317460317460316,233.7737153362258,165.82739028859348,67.94632504763231,,,,,,,155.61043616074144,70.8517947572786,0.6847826086956522,0.29411764705882354,0.7434673928104282,31.0,0.0
level,TJS,KZT,True,3,2022-07…2022-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,1,1,1.0,0.2846153846153846,3.5135135135135136,,,1.0,0.6230769230769231,1.6049382716049383,1106.8468238699047,163.51128752215095,943.3355363477538,,,,,,,949.272570012365,1076.8403368799252,0.03804347826086957,0.0,,91.0,0.8333333333333334
