indicator,k,scope,country,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
holiday:k3:major,3,major,KG,KGS,3,2022-07…2022-12,BUY_NOW,20,25.0,9,9,0.0,0.2846153846153846,0.0,,,0.0,0.5769230769230769,0.0,-326.17609371771334,92.68431984896502,-418.86041356667835,,,,,,,-447.70491242667686,-338.46703687839357,0.3423913043478261,0.75,1.8058302599329745,120.0,0.5
holiday:k3:major,3,major,KG,KGS,4,2023-01…2023-06,BUY_NOW,20,25.0,9,9,0.4444444444444444,0.5508474576271186,0.8068376068376069,,,0.6666666666666666,0.8389830508474576,0.7946127946127945,206.47394604407464,231.7318649254994,-25.257918881424757,,,,,,,-22.317111448846532,161.1938809269289,0.34806629834254144,0.75,1.6477821109959323,66.0,0.5
holiday:k3:major,3,major,KG,KGS,5,2023-07…2023-12,BUY_NOW,20,25.0,6,6,0.0,0.20155038759689922,0.0,,,0.5,0.5271317829457365,0.9485294117647058,-70.8936211852936,-26.704775666556326,-44.18884551873727,,,,,,,-31.343343496441264,-60.45299081429996,0.2282608695652174,0.8,1.8863636363636365,119.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,6,2024-01…2024-06,BUY_NOW,20,25.0,9,9,0.1111111111111111,0.23931623931623933,0.46428571428571425,,,0.6666666666666666,0.5726495726495726,1.164179104477612,18.866451435175883,31.12319280205631,-12.256741366880426,,,,,,,-5.448508178700474,-59.224578876659265,0.34615384615384615,0.75,1.7910852048015329,69.0,0.5
holiday:k3:major,3,major,KG,KGS,7,2024-07…2024-12,BUY_NOW,20,25.0,6,6,0.0,0.3282442748091603,0.0,,,0.6666666666666666,0.7557251908396947,0.882154882154882,-7.409857248160866,99.54663906237663,-106.95649631053749,,,,,,,-11.93026985441899,40.38742613638032,0.2282608695652174,0.8,1.8863636363636365,118.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,8,2025-01…2025-06,BUY_NOW,20,25.0,9,9,0.2222222222222222,0.02564102564102564,8.666666666666666,,,0.3333333333333333,0.15384615384615385,2.1666666666666665,-8.669156143792376,-221.43511533665657,212.7659591928642,,,,,,,125.51516125690735,39.14577934858609,0.34806629834254144,0.75,2.0805255791874457,68.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,9,2025-07…2025-12,BUY_NOW,20,25.0,6,6,0.5,0.2076923076923077,2.4074074074074074,,,0.5,0.5230769230769231,0.9558823529411764,108.50547462452285,-6.366992636140395,114.87246726066324,,,,,,,66.63292531038978,82.04677520797564,0.2282608695652174,0.8,1.8863636363636365,119.0,0.6666666666666666
holiday:k3:major,3,major,KG,KGS,10,2026-01…2026-06,BUY_NOW,20,25.0,6,6,0.0,0.23931623931623933,0.0,,,0.5,0.5384615384615384,0.9285714285714286,-129.99402974656184,5.753419433060342,-135.74744917962218,,,,,,,-142.5056788632676,-104.20885844680355,0.23204419889502761,0.8,1.7916666666666667,64.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,10,10,0.4,0.1440677966101695,2.776470588235294,,,0.8,0.5,1.6,163.06730483749828,-8.151508733265231,171.21881357076353,,,,,,,146.65731053411977,135.7944038445956,0.3867403314917127,0.8888888888888888,2.1920310216782974,63.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,1,2021-07…2021-12,BUY_NOW,20,25.0,15,15,0.3333333333333333,0.16279069767441862,2.0476190476190474,,,0.3333333333333333,0.5348837209302325,0.6231884057971014,64.94860078352448,25.66914672872073,39.27945405480375,,,,,,,9.399631141997418,27.700969288539493,0.5706521739130435,0.8571428571428571,2.491206758001253,116.0,0.5
