corridor,day_of_month,n_days,n_days_detrended,dev_from_month_mean_bps,ci_lo,ci_hi,dev_detrended_bps,detrended_ci_lo,detrended_ci_hi,in_tax_window
KZT,11,46,46,84.22453275713032,6.913350355527425,166.1458402421015,70.58606581840861,14.536713779841344,131.09856035724036,False
KZT,12,44,44,28.237179159923958,-27.07510021713032,82.76394184112395,24.559694224562648,-11.542186804819028,62.81681887844443,False
KZT,13,45,45,31.17753730310478,-15.442548412331872,72.51485358733258,17.419773818502488,-17.59133902292009,52.141471146735775,False
KZT,14,45,45,49.68878743584874,-13.671819614549053,117.45714688482519,27.726850150747183,-25.75320677446269,86.81010255965734,False
KZT,15,48,48,-2.251459729462939,-44.660739381508094,40.339234443101276,-12.625559645390128,-49.99317201746778,26.283124343311485,False
KZT,16,47,47,-10.924075528536605,-48.197170329358045,26.97839572593344,-20.914621554680778,-55.95250249474654,13.899268913894666,False
KZT,17,47,47,0.5377985488055486,-35.9496068348001,35.681435711855684,0.35273908920582614,-33.26891580808069,31.25348616265429,False
KZT,18,47,47,-35.025921904258176,-83.63671516071884,9.105580254050231,-27.813507853863644,-74.0700211198546,14.475327327687443,False
KZT,19,48,48,-14.910235403465071,-71.20134416300962,37.54404045702056,-12.92182185839488,-65.11016013624392,35.97012355422309,False
KZT,20,48,48,-29.240266802912455,-94.70200118647375,29.686282139686725,-16.840065800993017,-72.6534515406304,27.81205976347003,True
KZT,21,46,46,-45.27176050815451,-102.10953750952255,12.170323809568798,-21.54818613637522,-61.954943657962225,17.898816460647925,True
KZT,22,47,47,-14.485086512949938,-73.44557329721701,51.35600998390779,-5.119481864837801,-37.075816976750815,30.69025449508235,True
KZT,23,42,42,-45.60988410639434,-117.46409250184557,20.355854686811096,-22.18403179390784,-60.843646257487094,11.803572054960183,True
KZT,24,46,46,-91.12348720957299,-166.63310227644226,-21.45119265798791,-40.4560352491813,-83.15950865035299,-4.1529007926465065,True
KZT,25,47,47,-75.52309954737949,-142.06565425731785,-16.321017616052416,-39.7703685950573,-73.38561025773903,-9.06670245536046,True
KZT,26,48,48,-2.7382868855790625,-66.89885728345966,61.84005199418848,5.0252470073829265,-22.455712009845957,36.93081452951746,True
KZT,27,48,48,-42.293354942241535,-143.60364896652504,51.201515779631535,6.357704236598483,-39.11682726161381,63.02280332556632,True
KZT,28,47,47,-49.379686279388515,-134.70035566901075,44.21870092032321,26.401941159932516,-10.171438925536282,62.811332042927816,True
KZT,29,44,44,-44.14216915311289,-153.63179359603697,66.43875429931776,12.782847729082693,-32.37157765183148,59.15183104330351,False
KZT,30,40,40,-37.54975150803511,-149.6873430881378,75.3644148107918,13.35824440840961,-37.71405257242564,64.81465352468659,False
KZT,31,23,23,-50.66826675054913,-206.16677701959762,64.44147110707915,15.451386146034148,-63.317414741131664,89.32009946031256,False
