indicator,rule,mode,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
calendar:day25:all,day25,all,UZS,5,2023-07…2023-12,BUY_NOW,20,25.0,29,29,0.20689655172413793,0.13953488372093023,1.4827586206896552,,,0.5862068965517241,0.4728682170542636,1.2396834369700394,1.1865180038266399,-69.49233690529937,70.678854909126,,,,,,,69.83371848085488,124.17651433277662,1.1032608695652175,0.8214285714285714,1.6105123408406408,27.0,0.0
calendar:day25:all,day25,all,UZS,6,2024-01…2024-06,BUY_NOW,20,25.0,26,26,0.15384615384615385,0.15384615384615385,1.0,,,0.5769230769230769,0.5128205128205128,1.125,2.8193443955728443,-20.683669886704273,23.503014282277118,,,,,,,30.389733714433508,9.755956010386765,1.0,0.8,1.5243948260863445,30.0,0.0
calendar:day25:all,day25,all,UZS,7,2024-07…2024-12,BUY_NOW,20,25.0,28,28,0.35714285714285715,0.31297709923664124,1.141114982578397,,,0.6071428571428571,0.6641221374045801,0.9142036124794745,54.45487947167146,93.66515844300025,-39.21027897132879,,,,,,,-34.6313171217428,-7.815056742910441,1.065217391304348,0.8148148148148148,1.593293502049597,26.0,0.0
calendar:day25:all,day25,all,UZS,8,2025-01…2025-06,BUY_NOW,20,25.0,27,27,0.037037037037037035,0.042735042735042736,0.8666666666666666,,,0.25925925925925924,0.24786324786324787,1.0459770114942528,-148.04320251343339,-198.85952062411175,50.81631811067837,,,,,,,49.18918732659055,35.9744413379601,1.0441988950276242,0.8076923076923077,1.5473302069147261,26.0,0.0
calendar:day25:all,day25,all,UZS,9,2025-07…2025-12,BUY_NOW,20,25.0,27,27,0.07407407407407407,0.2,0.37037037037037035,,,0.4444444444444444,0.5384615384615384,0.8253968253968254,5.20276192735055,31.661039927311496,-26.458277999960945,,,,,,,-26.63572786511345,-6.139988708118769,1.0271739130434783,0.8076923076923077,1.5747222041650903,27.0,0.0
calendar:day25:all,day25,all,UZS,10,2026-01…2026-06,BUY_NOW,20,25.0,26,26,0.19230769230769232,0.2564102564102564,0.7500000000000001,,,0.5769230769230769,0.5470085470085471,1.0546874999999998,-14.431223320168083,10.996849225985803,-25.428072546153885,,,,,,,6.827822331880598,41.246527149130245,1.005524861878453,0.8,1.5346942949179436,27.0,0.0
calendar:day20-25:first,day20-25,first,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.1440677966101695,2.313725490196078,,,0.6666666666666666,0.5,1.3333333333333333,27.738363706172517,-8.151508733265231,35.88987243943775,,,,,,,49.27812823884326,44.69614017430495,0.23204419889502761,0.0,0.07887415926831029,32.0,0.0
calendar:day20-25:first,day20-25,first,KGS,1,2021-07…2021-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.16279069767441862,1.0238095238095237,,,0.5,0.5348837209302325,0.9347826086956522,-32.005023764782315,25.66914672872073,-57.67417049350304,,,,,,,-50.917387967619106,-50.71533564484698,0.2282608695652174,0.0,0.047654387977502655,33.0,0.0
calendar:day20-25:first,day20-25,first,KGS,2,2022-01…2022-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.10256410256410256,1.625,,,0.5,0.39316239316239315,1.2717391304347827,-1.5832128963777212,-134.33666686632213,132.75345396994442,,,,,,,191.78654152238923,254.93454512069843,0.23204419889502761,0.0,0.08944271909999159,32.0,0.0
calendar:day20-25:first,day20-25,first,KGS,3,2022-07…2022-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.2846153846153846,0.5855855855855856,,,0.8333333333333334,0.5769230769230769,1.4444444444444446,114.21143220766055,92.68431984896502,21.527112358695533,,,,,,,1.598897038051869,86.85902737556539,0.2282608695652174,0.0,0.037037037037037035,33.0,0.0
